Supreme NS50S notstativ,179,a_01.jpg,3-delat notställ. Gummifötter och justerbar höjd från 62 till 120cm. Vikt 1.1kg.
König & Meyer17580,269,a_02.jpg,Gitarrställ <HELI> för akustisk gitarr.
Supreme Capo,199,a_03.jpeg,Pro-Capo för elgitarr och western/stålsträngad gitarr.
Dunlop bottleneck,99,a_04.jpeg,Förkromad stålslide medium med medelstor sidostorlek.
Planet Waves GH Humidifier,99,a_05.jpeg,Luftfuktare för gitarr.
Shubb S1,310,a_06.jpeg,Deluxe Capo för westerngitarr.
Planet Waves PWTF-A,110,a_07.jpeg,A-stämgafflar med ergonomiskt utformat handtag.
Elixir PBL Phosphor 012-053,209,a_08.jpeg,Westergitarr Phosphor Bronze Strängset Light Nanoweb Coated .012 .016 .024 .032 .042 .053.
